Provisioning Status
Subscription ID,Subscription Name,Order Id,Description,Billing Date(Anniversary Date),Offer Name,Service Name,Subs Status,Subs Extra Status,Provisioning Status
"""53982d63-dde4-4554-a292-bbcdf1563f4e""","""Pay-As-You-Go""","""e40c7bb7-451f-43c1-a304-119ef10bcf49""","""Pay-As-You-Go""",10,,"""Azure Service Component""",Enabled,None,Provisioned

Statement
Billing Period,Meter Category,Meter Sub-category,Meter Name,Meter Region,SKU,Unit,Consumed Quantity,Included Quantity,Within Commitment,Overage Quantity,Currency,Overage,Commitment Rate,Rate,Value
8/22/2018,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/22/2018,"""Azure App Service""","""ba302f7a-078b-4141-a636-a76315ba44ce""",,"""Basic Small App Service Hours""",,"""Hours""",24.0,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""","""{}""","""{}""",,
8/22/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000097,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/22/2018,"""App Services""","""0f824807-2376-435c-95c9-f992b67a07b0""","""Key Vault""","""Operations (in 10,000s)""",,"""10,000s""",0.0002,"""ukwest""","""Microsoft.KeyVault""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.KeyVault/vaults/RSR-Vault""","""{}""","""{}""",,
8/22/2018,"""Data Services""","""d72ca4ba-8925-4d30-bbd9-ebbe0c917841""","""SQL Database""","""Basic Database Days""","""UK West""","""Days""",0.999999999999999936,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/23/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000230964273214340211,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/23/2018,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/23/2018,"""Azure App Service""","""ba302f7a-078b-4141-a636-a76315ba44ce""",,"""Basic Small App Service Hours""",,"""Hours""",24.0,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""","""{}""","""{}""",,
8/23/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.002100,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/23/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000336274504661560060,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/23/2018,"""App Services""","""0f824807-2376-435c-95c9-f992b67a07b0""","""Key Vault""","""Operations (in 10,000s)""",,"""10,000s""",0.0002,"""ukwest""","""Microsoft.KeyVault""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.KeyVault/vaults/RSR-Vault""","""{}""","""{}""",,
8/23/2018,"""Data Services""","""d72ca4ba-8925-4d30-bbd9-ebbe0c917841""","""SQL Database""","""Basic Database Days""","""UK West""","""Days""",0.999999999999999936,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/24/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.0001884028315544128445,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/24/2018,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/24/2018,"""Azure App Service""","""ba302f7a-078b-4141-a636-a76315ba44ce""",,"""Basic Small App Service Hours""",,"""Hours""",24.0,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""","""{}""","""{}""",,
8/24/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.002544,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/24/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000021172687411308289,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/24/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.0002323696389794349624,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/24/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.0000062771141529083252,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/24/2018,"""App Services""","""0f824807-2376-435c-95c9-f992b67a07b0""","""Key Vault""","""Operations (in 10,000s)""",,"""10,000s""",0.0002,"""ukwest""","""Microsoft.KeyVault""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.KeyVault/vaults/RSR-Vault""","""{}""","""{}""",,
8/24/2018,"""Data Services""","""d72ca4ba-8925-4d30-bbd9-ebbe0c917841""","""SQL Database""","""Basic Database Days""","""UK West""","""Days""",0.999999999999999936,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/25/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000296441838145256048,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/25/2018,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/25/2018,"""Azure App Service""","""ba302f7a-078b-4141-a636-a76315ba44ce""",,"""Basic Small App Service Hours""",,"""Hours""",24.0,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""","""{}""","""{}""",,
8/25/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.005030,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/25/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000007500872015953064,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/25/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000386177562177181250,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/25/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.00000020861625671386719,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/25/2018,"""App Services""","""0f824807-2376-435c-95c9-f992b67a07b0""","""Key Vault""","""Operations (in 10,000s)""",,"""10,000s""",0.0002,"""ukwest""","""Microsoft.KeyVault""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.KeyVault/vaults/RSR-Vault""","""{}""","""{}""",,
8/25/2018,"""Data Services""","""d72ca4ba-8925-4d30-bbd9-ebbe0c917841""","""SQL Database""","""Basic Database Days""","""UK West""","""Days""",0.999999999999999936,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/26/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.0002870624884963035625,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/26/2018,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/26/2018,"""Azure App Service""","""ba302f7a-078b-4141-a636-a76315ba44ce""",,"""Basic Small App Service Hours""",,"""Hours""",24.0,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""","""{}""","""{}""",,
8/26/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.001222,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/26/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.0002751573920249938924,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/26/2018,"""App Services""","""0f824807-2376-435c-95c9-f992b67a07b0""","""Key Vault""","""Operations (in 10,000s)""",,"""10,000s""",0.0003,"""ukwest""","""Microsoft.KeyVault""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.KeyVault/vaults/RSR-Vault""","""{}""","""{}""",,
8/26/2018,"""Data Services""","""d72ca4ba-8925-4d30-bbd9-ebbe0c917841""","""SQL Database""","""Basic Database Days""","""UK West""","""Days""",0.999999999999999936,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/27/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000137292779982089996,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/27/2018,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/27/2018,"""Azure App Service""","""ba302f7a-078b-4141-a636-a76315ba44ce""",,"""Basic Small App Service Hours""",,"""Hours""",24.0,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""","""{}""","""{}""",,
8/27/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.001362,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/27/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000138928182423114777,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/27/2018,"""App Services""","""0f824807-2376-435c-95c9-f992b67a07b0""","""Key Vault""","""Operations (in 10,000s)""",,"""10,000s""",0.0002,"""ukwest""","""Microsoft.KeyVault""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.KeyVault/vaults/RSR-Vault""","""{}""","""{}""",,
8/27/2018,"""Data Services""","""d72ca4ba-8925-4d30-bbd9-ebbe0c917841""","""SQL Database""","""Basic Database Days""","""UK West""","""Days""",0.999999999999999936,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/28/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000684035010635852812,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/28/2018,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/28/2018,"""Azure App Service""","""ba302f7a-078b-4141-a636-a76315ba44ce""",,"""Basic Small App Service Hours""",,"""Hours""",24.0,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""","""{}""","""{}""",,
8/28/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.003068,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/28/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000037504360079765320,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/28/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000739277340471744544,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/28/2018,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.00000104308128356933595,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/28/2018,"""App Services""","""0f824807-2376-435c-95c9-f992b67a07b0""","""Key Vault""","""Operations (in 10,000s)""",,"""10,000s""",0.0002,"""ukwest""","""Microsoft.KeyVault""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.KeyVault/vaults/RSR-Vault""","""{}""","""{}""",,
8/28/2018,"""Data Services""","""d72ca4ba-8925-4d30-bbd9-ebbe0c917841""","""SQL Database""","""Basic Database Days""","""UK West""","""Days""",0.999999999999999936,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/29/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.002833636477589607279,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/29/2018,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/29/2018,"""Azure App Service""","""ba302f7a-078b-4141-a636-a76315ba44ce""",,"""Basic Small App Service Hours""",,"""Hours""",24.0,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""","""{}""","""{}""",,
8/29/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.002921,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
